Dataset,Input_Type,Label,Accuracy,Precision,Recall,F1-Score,Micro-F1,Weighted-F1,Support
No_titles,One Last Class,OVERALL,0.8717948717948718,0.8531698863378159,0.8231034319926477,0.8204004449062826,0.8717948717948718,0.8664763522855814,936
No_titles,One Last Class,דיון והכרעה,,0.848381601362862,0.9861386138613861,0.9120879120879121,,,505
No_titles,One Last Class,טיעוני הצדדים,,0.952,0.6102564102564103,0.74375,,,195
No_titles,One Last Class,מידע אחר,,0.9210526315789473,0.9210526315789473,0.9210526315789473,,,38
No_titles,One Last Class,עובדות המקרה,,0.9369369369369369,0.896551724137931,0.9162995594713657,,,116
No_titles,One Last Class,ראיות לעונש,,0.48148148148148145,0.8125,0.6046511627906976,,,16
No_titles,One Last Class,תסקיר שירות מבחן,,0.9791666666666666,0.7121212121212122,0.8245614035087719,,,66
No_titles,Last Text+Classes,OVERALL,0.9294871794871795,0.860779625326414,0.9067598579800741,0.8643785334858705,0.9294871794871795,0.9320479905919407,936
No_titles,Last Text+Classes,דיון והכרעה,,0.9453860640301318,0.994059405940594,0.9691119691119691,,,505
No_titles,Last Text+Classes,טיעוני הצדדים,,0.9634146341463414,0.8102564102564103,0.8802228412256268,,,195
No_titles,Last Text+Classes,מידע אחר,,0.9210526315789473,0.9210526315789473,0.9210526315789473,,,38
No_titles,Last Text+Classes,עובדות המקרה,,0.9611650485436893,0.853448275862069,0.9041095890410958,,,116
No_titles,Last Text+Classes,ראיות לעונש,,0.40540540540540543,0.9375,0.5660377358490566,,,16
No_titles,Last Text+Classes,תסקיר שירות מבחן,,0.9682539682539683,0.9242424242424242,0.9457364341085271,,,66
